company_number,company_status,company_type,incorporation_date,dissolution_date,age_days,sic_primary,sic_sector,region,has_insolvency_history,has_charges,has_been_liquidated,office_in_dispute,undeliverable_address,officer_count,resigned_count,officer_turnover_rate,filing_count,accounts_count,confirmation_count,charge_count,outstanding_charges,charge_satisfaction_rate,psc_count,corporate_psc_count,dissolved
NI606872,dissolved,ltd,2011-03-30,2022-05-03,4052,41202,Construction/Transport,Co. Tyrone,0,0,0,0,0,1,0,0.0,16,6,6,0,0,0.0,1,0,1
NI607029,dissolved,ltd,2011-04-11,2019-09-17,3081,77390,Real Estate/Business,Newry,0,0,0,0,0,2,1,0.5,24,8,7,0,0,0.0,1,0,1
NI607395,dissolved,ltd,2011-05-12,2019-05-20,2930,47799,Construction/Transport,Co Tyrone,1,0,1,0,0,1,0,0.0,16,0,2,0,0,0.0,0,0,1
NI607645,dissolved,ltd,2011-05-31,2015-06-05,1466,47110,Construction/Transport,County Down,0,0,0,0,0,3,2,0.667,21,3,3,0,0,0.0,0,0,1
NI607662,dissolved,ltd,2011-05-31,2019-08-27,3010,49410,Construction/Transport,County Tyrone,0,0,0,0,0,3,1,0.333,24,9,8,0,0,0.0,1,0,1
NI606712,dissolved,ltd,2011-03-21,2015-11-10,1695,47910,Construction/Transport,Belfast,0,0,0,0,0,2,0,0.0,11,3,3,0,0,0.0,0,0,1
NI607235,dissolved,ltd,2011-04-26,2014-12-19,1333,70229,Real Estate/Business,Fermanagh,0,0,0,0,0,2,0,0.0,11,2,3,0,0,0.0,0,0,1
NI607032,dissolved,private-limited-guarant-nsc,2011-04-11,2016-11-08,2038,94990,Other Services,County Armagh,0,0,0,0,0,21,13,0.619,42,6,4,0,0,0.0,0,0,1
NI607458,dissolved,ltd,2011-05-17,2016-08-02,1904,43999,Construction/Transport,Down,0,0,0,0,0,3,1,0.333,16,1,2,0,0,0.0,0,0,1
NI607573,dissolved,ltd,2011-05-25,2021-10-26,3807,25610,Manufacturing,County Londonderry,0,0,0,0,0,2,1,0.5,26,9,9,0,0,0.0,1,0,1
NI607196,dissolved,ltd,2011-04-21,2018-12-03,2783,46342,Construction/Transport,Co Down,1,1,0,0,0,4,1,0.25,39,7,5,4,2,0.5,0,0,1
NI607266,dissolved,ltd,2011-05-03,2021-06-08,3689,85590,Public/Education/Health,County Down,0,0,0,0,0,1,0,0.0,25,10,10,0,0,0.0,1,0,1
NI607251,dissolved,ltd,2011-04-28,2016-02-09,1748,47300,Construction/Transport,County Armagh,0,0,0,0,0,4,3,0.75,17,4,4,0,0,0.0,0,0,1
NI607292,dissolved,ltd,2011-05-05,2016-10-04,1979,,Unknown,Dungannon,0,0,0,0,0,2,0,0.0,12,0,0,0,0,0.0,0,0,1
NI607328,dissolved,ltd,2011-05-09,2016-05-17,1835,42220,Construction/Transport,Derry,0,0,0,0,0,1,0,0.0,14,3,4,0,0,0.0,0,0,1
NI608000,dissolved,ltd,2011-06-24,2019-04-23,2860,99999,Other Services,Belfast,0,0,0,0,0,4,0,0.0,22,6,7,0,0,0.0,1,0,1
NI607013,dissolved,ltd,2011-04-08,2023-02-21,4337,62030,Finance/Insurance,Ballymena,0,0,0,0,0,2,1,0.5,46,11,10,0,0,0.0,2,1,1
